Date,Close
1/6/2012,4754.1
1/9/2012,4742.8
1/10/2012,4849.55
1/11/2012,4860.95
1/12/2012,4831.25
1/13/2012,4866
1/16/2012,4873.9
1/17/2012,4967.3
1/18/2012,4955.8
1/19/2012,5018.4
1/20/2012,5048.6
1/23/2012,5046.25
1/24/2012,5127.35
1/25/2012,5158.3
1/27/2012,5204.7
1/30/2012,5087.3
1/31/2012,5199.25
2/1/2012,5235.7
2/2/2012,5269.9
2/3/2012,5325.85
2/6/2012,5361.65
2/7/2012,5335.15
2/8/2012,5368.15
2/9/2012,5412.35
2/10/2012,5381.6
2/13/2012,5390.2
2/14/2012,5416.05
2/15/2012,5531.95
2/16/2012,5521.95
2/17/2012,5564.3
2/21/2012,5607.15
2/22/2012,5505.35
2/23/2012,5483.3
2/24/2012,5429.3
2/27/2012,5281.2
2/28/2012,5375.5
2/29/2012,5385.2
3/1/2012,5339.75
3/2/2012,5359.35
3/5/2012,5280.35
3/6/2012,5222.4
3/7/2012,5220.45
3/9/2012,5333.55
3/12/2012,5359.55
3/13/2012,5429.5
3/14/2012,5463.9
3/15/2012,5380.5
3/16/2012,5317.9
3/19/2012,5257.05
3/20/2012,5274.85
3/21/2012,5364.95
3/22/2012,5228.45
3/23/2012,5278.2
3/26/2012,5184.25
3/27/2012,5243.15
3/28/2012,5194.75
3/29/2012,5178.85
3/30/2012,5295.55
4/2/2012,5317.9
4/3/2012,5358.5
4/4/2012,5322.9
4/9/2012,5234.4
4/10/2012,5243.6
4/11/2012,5226.85
4/12/2012,5276.85
4/13/2012,5207.45
4/16/2012,5226.2
4/17/2012,5289.7
4/18/2012,5300
4/19/2012,5332.4
4/20/2012,5290.85
4/23/2012,5200.6
4/24/2012,5222.65
4/25/2012,5202
4/26/2012,5189
4/27/2012,5190.6
4/30/2012,5248.15
5/2/2012,5239.15
5/3/2012,5188.4
5/4/2012,5086.85
5/7/2012,5114.15
5/8/2012,4999.95
5/9/2012,4974.8
5/10/2012,4965.7
5/11/2012,4928.9
5/14/2012,4907.8
5/15/2012,4942.8
5/16/2012,4858.25
5/17/2012,4870.2
5/18/2012,4891.45
5/21/2012,4906.05
5/22/2012,4860.5
5/23/2012,4835.65
5/24/2012,4921.4
5/25/2012,4920.4
5/28/2012,4985.65
5/29/2012,4990.1
5/30/2012,4950.75
5/31/2012,4924.25
6/1/2012,4841.6
6/4/2012,4848.15
6/5/2012,4863.3
6/6/2012,4997.1
6/7/2012,5049.65
6/8/2012,5068.35
6/11/2012,5054.1
6/12/2012,5115.9
6/13/2012,5121.45
6/14/2012,5054.75
6/15/2012,5139.05
6/18/2012,5064.25
6/19/2012,5103.85
6/20/2012,5120.55
6/21/2012,5165
6/22/2012,5146.05
6/25/2012,5114.65
6/26/2012,5120.8
6/27/2012,5141.9
6/28/2012,5149.15
6/29/2012,5278.9
7/2/2012,5278.6
7/3/2012,5287.95
7/4/2012,5302.55
7/5/2012,5327.3
7/6/2012,5316.95
7/9/2012,5275.15
7/10/2012,5345.35
7/11/2012,5306.3
7/12/2012,5235.25
7/13/2012,5227.25
7/16/2012,5197.25
7/17/2012,5192.85
7/18/2012,5216.3
7/19/2012,5242.7
7/20/2012,5205.1
7/23/2012,5117.95
7/24/2012,5128.2
7/25/2012,5109.6
7/26/2012,5043
7/27/2012,5099.85
7/30/2012,5199.8
7/31/2012,5229
8/1/2012,5240.5
8/2/2012,5227.75
8/3/2012,5215.7
8/6/2012,5282.55
8/7/2012,5336.7
8/8/2012,5338
8/9/2012,5322.95
8/10/2012,5320.4
8/13/2012,5347.9
8/14/2012,5380.35
8/16/2012,5362.95
8/17/2012,5366.3
8/21/2012,5421
8/22/2012,5412.85
8/23/2012,5415.35
8/24/2012,5386.7
8/27/2012,5350.25
8/28/2012,5334.6
8/29/2012,5287.8
8/30/2012,5315.05
8/31/2012,5258.5
9/3/2012,5253.75
9/4/2012,5274
9/5/2012,5225.7
9/6/2012,5238.4
9/7/2012,5342.1
9/10/2012,5363.45
9/11/2012,5390
9/12/2012,5431
9/13/2012,5435.35
9/14/2012,5577.65
9/17/2012,5610
9/18/2012,5600.05
9/20/2012,5554.25
9/21/2012,5691.15
9/24/2012,5669.6
9/25/2012,5673.9
9/26/2012,5663.45
9/27/2012,5649.5
9/28/2012,5703.3
10/1/2012,5718.8
10/3/2012,5731.25
10/4/2012,5787.6
10/5/2012,5746.95
10/8/2012,5676
10/9/2012,5704.6
10/10/2012,5652.15
10/11/2012,5708.05
10/12/2012,5676.05
10/15/2012,5687.25
10/16/2012,5648
10/17/2012,5660.25
10/18/2012,5718.7
10/19/2012,5684.25
10/22/2012,5717.15
10/23/2012,5691.4
10/25/2012,5705.3
10/26/2012,5664.3
10/29/2012,5665.6
10/30/2012,5597.9
10/31/2012,5619.7
11/1/2012,5645.05
11/2/2012,5697.7
11/5/2012,5704.2
11/6/2012,5724.4
11/7/2012,5760.1
11/8/2012,5738.75
11/9/2012,5686.25
11/12/2012,5683.7
11/13/2012,5666.95
11/15/2012,5631
11/16/2012,5574.05
11/19/2012,5571.4
11/20/2012,5571.55
11/21/2012,5614.8
11/22/2012,5627.75
11/23/2012,5626.6
11/26/2012,5635.9
11/27/2012,5727.45
11/29/2012,5825
11/30/2012,5879.85
12/3/2012,5870.95
12/4/2012,5889.25
12/5/2012,5900.5
